,text,manifesto_id,party,date,title,Class
1854,know well anyone begun millions hard working families want need deserve,51320_200106,Labour Party,200106,Ambitions for Britain,3
12112,always whatever necessary protect british people,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
12281,reform workings eu big bossy bureaucratic,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5041,government green deal save energy homes disappointing failure,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
9935,tackle overcrowding new system incentivise social landlords reduce number tenants occupying homes freeing larger properties,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
10964,improve problem junctions,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1376,end educational spectrum snp government support higher education sector,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
3694,scottish national party believes independent scotland must written constitution clearly enshrines rights responsibilities choose live scotland,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
6307,information controlled,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14070,scottish government track meet commitment new affordable homes needs done,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
1489,system feudal overlords widely abused led depopulation massive profits individuals care nothing land people insecurity thought title homes,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
2015,introduce new vocational options onwards expanded apprenticeship opportunities,51320_200106,Labour Party,200106,Ambitions for Britain,3
4926,department environment food rural affairs defra controversially went ahead culling free shooting gloucestershire somerset,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
2492,reject return plus,51320_200106,Labour Party,200106,Ambitions for Britain,3
10487,commonwealth,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
8017,wales,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
303,reduce need new water developments setting targets reduce leakage promoting efficiency water use,51421_199705,Liberal Democrats,199705,Make the Difference,4
15311,barnett formula longer used determine annual increases block grant devolved administration,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
2658,power devolved,51320_200106,Labour Party,200106,Ambitions for Britain,3
7406,major drive energy efficiency,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
12095,reform human rights law legal system,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
4009,independent scotland nice treaty would full quota meps,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
11826,abolished labour government top regional strategies sought delete green belt around towns cities introduced new local green space planning designation allows councils neighbourhood plans give added protection valuable local green spaces,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
9362,continue promote local integration health care educational support children special educational needs health problems,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6293,greens long supported process devolution wales,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
10349,reduce number mps part introduction reformed fair voting system,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
1720,scotland member united nations,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
989,better health service,51421_199705,Liberal Democrats,199705,Make the Difference,4
14565,new powers protect communities,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10854,hardworking taxpayers supported banks financial crisis banks turn support recovery keep bank levy place restrict established banks ability pay less tax offsetting profits past losses,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
11462,building nhs efficient effective accountable,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
8105,partners across commonwealth,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
5671,way student loans system works would cost billion parliament long run around billion year,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
4236,one scotland today knows much pay government taxation,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
13355,plaid cymru worked wales,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
1722,scotland membership un support peacekeeping development aid cultural educational programmes,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
10309,giving citizens stronger voice fair votes proposals blocked,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6748,victim crime,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
3521,raise minimum wage,51320_200106,Labour Party,200106,Ambitions for Britain,3
4076,snp keen see dash digital changeover establish scotland place forefront technological development,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
10412,enhances creation shared future beyond sectarianism division,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15749,enforcing current restriction class sizes thirty pupils aiming reduce twenty five pupils time ease teacher workloads least comes marking,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13725,using local businesses deliver work making houses energy efficient,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
7920,build strong record animal welfare starting end government ineffective cruel badger cull,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
11399,maths popular level subject,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
226,protect pension life assurance savings fraud,51421_199705,Liberal Democrats,199705,Make the Difference,4
3721,whether due front paid back graduation,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
2214,rail regulator strengthened powers ensure delivery higher standards increased safety increased investment company,51320_200106,Labour Party,200106,Ambitions for Britain,3
8560,made british government acknowledge unique situation,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
14186,pensioners want singletier pension set per week triplelock protection continuing,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
15543,operations cancelled reason,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
12841,rm covers activities existing dwellings relatively minor works painting decorating major including extensions conversions,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
218,strengthen customer guarantees improve product standards labelling especially environmental purposes encourage products easier repair reuse recycle,51421_199705,Liberal Democrats,199705,Make the Difference,4
9709,review rules surrounding sale pets ensure promote responsible breeding sales,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
4015,independent scotland,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
12142,go even,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
14298,result reduced unemployment increased employment scotland stronger record youth employment uk,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
7301,build alliances europe promoting country interests security,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
4843,green led administration brighton secured open access green space perpetuity,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15710,emergency childcare,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15990,ukip abolish green taxes levies,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
8112,military action alone defeat isil,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
2315,new regional economic policy must based boosting regional capacity innovation enterprise skill development modernising regional infrastructure improving university industry links,51320_200106,Labour Party,200106,Ambitions for Britain,3
16105,allow employers prioritise british citizens jobs,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
4820,conserve wildlife,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13695,welsh constituency elections weighted balance ensure wales heard matters,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
5388,especially recognising current generation older people paid lives beginning need,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13310,obligation local authorities measure demand statutory schools standards organisation act,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
14777,includes million next three years integrated care fund,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
1470,could used health research addition sports charitable arts purposes,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
547,improve health education promote healthy living,51421_199705,Liberal Democrats,199705,Make the Difference,4
1487,land valuable resource nation scotland system land ownership tenure amongst archaic western world,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
1968,manifesto comprehensive,51320_200106,Labour Party,200106,Ambitions for Britain,3
5821,right take industrial action including strikes peaceful picketing,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14135,economic growth sake,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
8854,world first green investment bank low carbon energy market helping almost treble renewable electricity generation,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
2370,also important reform common fisheries policy preserve fish stocks future,51320_200106,Labour Party,200106,Ambitions for Britain,3
1752,independent scotland inherit treaty obligation nato,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
4917,end use animals circuses,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15994,employment,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15792,learn better tailored non mainstream environment opportunity,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
1651,well assisting scottish airports provide high quality services easily accessible passengers,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
16526,aircraft carriers,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
10676,plays leadership role efforts combat climate change,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
6609,international disarmament security agreements,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
16648,tentacles eu stretch almost every area national life,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
650,northern ireland,51421_199705,Liberal Democrats,199705,Make the Difference,4
10025,encouraging gender diversity among senior managers,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
4186,provide focused relevant education dangers drugs,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
526,shift money unnecessary bureaucracy patient care,51421_199705,Liberal Democrats,199705,Make the Difference,4
9439,liberal democrats government secured first ever income contingent loans scheme graduate degrees protect seek extend,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12256,ensure responsibility taxation devolved tax changes affect public spending part country,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
1598,,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
3427,legislate toughen controls uk nationals commit offences corruption abroad,51320_200106,Labour Party,200106,Ambitions for Britain,3
7562,education system failing meet needs young people follow traditional academic path school university,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
10401,work constructively political parties northern ireland irish government ensure political stability northern ireland assembly institutions belfast agreement,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
8858,grow competitive banking sector support alternative finance providers improve access finance business consumers,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
16156,time trevor sells two boxes whelks caught today make grand sum costs fuel boat,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6007,abolish capital gains tax personal allowance raising around billion year,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
12146,new powers might instance prevent seeking radicalise young british people online using internet communicating via social media,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
7460,give local authorities role strengthening enforcement paying less legal amount,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
1312,,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
15707,schools choose facilitate school care,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
5253,easing access healthcare trans people,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
12916,northern ireland sovereignty identity clash violently,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
11336,believe substitute rigorous academic curriculum secure best every pupil,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
10679,work regulatory bodies financial investors establish global reporting standard fossil fuel companies potential impact future restrictions carbon emissions asset base,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
12707,clear new approach needed,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
8557,sdlp party consistently opposed tories welfare reform westminster assembly,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
2369,high standards safety regulation must strict protect environment promote public health consumer choice must use science establish facts opportunities risks taking final decisions open way,51320_200106,Labour Party,200106,Ambitions for Britain,3
959,provide mechanism people give views tax spending priorities,51421_199705,Liberal Democrats,199705,Make the Difference,4
8937,introduce incentives businesses improve resource efficiency,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
16192,escape cfp introduce sustainable fishing practice,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
4529,control immigration fairly,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
14276,stronger economy essential underpinning deficit reduction uk higher levels growth delivering increased revenues reducing spending pressures,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
12900,put end publicly owned homes remaining endlessly boarded,51621_201505,Ulster Unionist Party,201505,"One day, one vote, one chance for change. Westminster Manifesto 2015",8
14500,scottish government ambitious targets support community energy generation press uk government make simpler communities establish local energy companies easier community schemes access grid,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
4431,regional transport authorities rtas publicly accountable,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
15801,remove ofsted right investigate,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
15894,reverse current policies facilitating large scale rural residential developments,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13798,push european union approval reduction petrol diesel prices rural wales,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
9008,accept new nuclear power stations play role low carbon electricity supply provided concerns safety disposal waste cost adequately addressed,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
15812,condition work discipline pay tax uk least five years complete degrees,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
6892,comhionannas n ine,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
13419,high energy bills hitting many people hard,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
11716,ensuring electoral commission tackle voting fraud,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
15436,european union citizen resident uk time referendum permitted remain work,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
13723,particular emphasis tidal hydro sources proposed tidal lagoons reducing reliance fossil fuels,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
14033,unacceptable would mean additional children scotland growing poverty,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
10076,work ensure shift digital default public services leave people behind upholding highest standards accessibility digital services maintaining government programmes digital inclusion,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
16213,ukip fuel regeneration coastal areas transforming vibrant growing communities bestowing seaside town status areas need regeneration,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
3183,right people fleeing persecution able make new life hard working citizens new country,51320_200106,Labour Party,200106,Ambitions for Britain,3
3200,best local government inspiring example government achieve,51320_200106,Labour Party,200106,Ambitions for Britain,3
14293,addition specific focus youth employment guarantees access education training massive expansion modern apprenticeship places,51902_201505,Scottish National Party,201505,Stronger for Scotland. SNP Manifesto 2015,5
13806,ensure staffing levels full time retained fire crews adequate level provide comprehensive cover parts wales times,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
3188,cutting decision time increasing processing claims month labour reduced backlog inherited,51320_200106,Labour Party,200106,Ambitions for Britain,3
7058,encourage inward investment,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
2330,put urban renewal heart planning system set target per cent new house building brownfield land provided conversion existing buildings,51320_200106,Labour Party,200106,Ambitions for Britain,3
176,investing enterprise,51421_199705,Liberal Democrats,199705,Make the Difference,4
13667,support cardiff airport creating improved freight passenger development strategy,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
13641,work network rail deliver,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
9217,consult introducing right make regular patterns work contractual period time,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
11747,ensure digital assistance always available online,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
193,expand support science research shifting government funds away military research development civil science research,51421_199705,Liberal Democrats,199705,Make the Difference,4
3608,snp stands scotland,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
353,end year scandal people forced sleep rough streets,51421_199705,Liberal Democrats,199705,Make the Difference,4
2254,allow benefit pension recipients receive payments charge full post office switch automated credit transfer,51320_200106,Labour Party,200106,Ambitions for Britain,3
907,develop global system environmental protection,51421_199705,Liberal Democrats,199705,Make the Difference,4
16102,ukip support small businesses seen many policy areas,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
16391,oppose excessive development actively seek protect countryside green spaces,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
3675,however need ensure invest long term using benefits scotland wealth resources,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
8663,sdlp instrumental keeping arms trade treaty att agenda,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
8553,continue push case allireland rail network dublin beyond reopening knockmorelisburn rail link,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
13602,oppose part deal may lead privatisation nhs,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
12252,significant new welfare powers complement existing devolved powers health social care,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
4793,depend welfare,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6489,recognise latest scientific evidence harmful effect diesel human health,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
13179,plaid cymru mps voted reduction additional rate income tax p p budget debate,51901_201505,The Party of Wales,201505,Working for Wales. 2015 Westminster Election Manifesto,7
10495,agreed ambitious eu target cuts carbon emissions,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
9564,details services commissioned remain matter local areas,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
9477,delivering equal care,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
11939,hurt consumers,51620_201505,Conservative Party,201505,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015",0
5795,green party proposals make fairer sustainable society,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
4610,well linked everyone else,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
16254,putting responsibility law order back hands parliament key ukip approach law order justice internal security across british isles,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
3986,secure scotland voice heart europe full membership important decision policy making bodies,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
6203,green mp caroline lucas public service users bill,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
6321,support protect internet freedom,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
15373,introduce australian style points based system manage number skills people coming country,51951_201505,United Kingdom Independence Party,201505,Believe in Britain. UKIP Manifesto 2015,9
4029,humanitarian relief european union common foreign security policy european rapid reaction force,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
6775,provide proper funding women refuges survivors domestic violence,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
7094,shortage adequate social housing forcing many people private rented sector quality housing guaranteed landlords charge exorbitant rents,51210_201505,We Ourselves,201505,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto,10
9686,libraries open,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
2459,goal develop education harness individual talents every pupil,51320_200106,Labour Party,200106,Ambitions for Britain,3
5571,green party proposes extend education system provide free universal flexible system good quality early education support parents birth age compulsory education,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
5004,need put right ensure everyone able cook keep warm,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
8016,scotland continue benefit pooling sharing resources across uk,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
1671,rate involvement access internet regulated commerce competition government role supporting scottish endeavours field,51902_199705,Scottish National Party,199705,Yes we can win the best for Scotland,5
2685,matter sake,51320_200106,Labour Party,200106,Ambitions for Britain,3
8079,implement recommendations leveson inquiry,51320_201505,Labour Party,201505,Britain can be better. The Labour Party Manifesto 2015,3
5984,get serious collecting tax,51110_201505,Green Party of England and Wales,201505,For the common good. General election manifesto 2015,2
3946,dental health,51902_200106,Scottish National Party,200106,Heart of the manifesto 2001,5
8356,introduce comprehensive early years strategy,51340_201505,Social Democratic and Labour Party,201505,Prosperity not austerity. SDLP Westminster Manifesto 2015,6
10144,cut back petty regulation everyday life like removing licensing requirements leafleting community events,51421_201505,Liberal Democrats,201505,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,4
